
TTD - Therapeutic Targets Database Full Data Download File
Version 6.1.01 (2017.10.04)
Provided by BIDD   BioInformatic and Drug Design Group
                   Department of Pharmacy
                   National Unviersity of Singapore
                   http://bidd.nus.edu.sg/group/bidd.htm
Any question about data provided here, please contact with:
Prof. Chen (csccyz@nus.edu.sg) and Prof. Zhu (zhufeng@cqu.edu.cn, http://idrb.cqu.edu.cn/Peoples-PI.php)

--------------------------------------------------------------------------------------------------------

TTDDRUGID	LNM	Indication	ICD9	ICD10
D05NIR	ALX-0061	Autoimmune diabetes		E08-E13
D05NJG	PH sensitive micelles	Cancer	140-229	C00-C96
D05NJI	STX 64	Prostate cancer	185	C61
D05NJL	ALSE-100	Bone disease		M00-M99
D05NLD	ARRY-300	Cancer	140-229	C00-C96
D05NLR	Adva-33c	Cancer	140-229	C00-C96
D05NMJ	Biphasic porcine insulin	Diabetes	253.5, 588.1	E23.2, N25.1
D05NMU	DasKloster 0274-01	Pseudomonas aeruginosa infection	001-139	B96.5
D05NOG	Targeted ranpirnase conjugates	Cancer	140-229	C00-C96
D05NOS	Triflupromazine	Psychoses	290-299	F20-F29
D05NQR	LyphoDerm	Wound healing		T14.0-T14.1
D05NQX	PD-152255	Unspecified		
D05NRI	Ceronapril	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D05NRX	VG-102	Cancer	140-229	C00-C96
D05NSF	4SC-207	Cancer	140-229	C00-C96
D05NTQ	PRO-015	Retinitis pigmentosa		H35.5
D05NTY	NPC-18166	Psychotic disorders	290-299	F20-F29
D05NUH	Hm61713	Lung Cancer		C33-C34
D05NUP	SBS-1000	Diabetes	253.5, 588.1	E23.2, N25.1
D05NUT	ALS-00T2-0501	Psoriasis	696	L40
D05NWJ	SLV-337	Cardiovascular disorder		I00-I99
D05NWM	Pyraclostrobin	Plant grey mould disease		
D05NYF	HuMax-TF	Cancer	140-229	C00-C96
D05NYO	Imab-027	Solid tumours	140-199, 210-229	C00-D48
D05NZV	BRL 35135	Diabetes	253.5, 588.1	E23.2, N25.1
D05OAJ	AW-814141	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D05OBK	DwLIP-GCGRrx	Diabetes	253.5, 588.1	E23.2, N25.1
D05ODE	CC-90001	Fibrosis	709.2	L90.5
D05ODU	Belerofon	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D05OEG	E-2001	Cerebrovascular ischaemia	434.91	I61-I63
D05OEU	Technetium Tc-99m Succimer Kit	Radioactive tracer		W88
D05OFK	Vaccine, CMV infection	Cytomegalovirus infection		B25
D05OFO	TC-2696	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05OFX	Lacosamide	Convulsions	780.3	R56.0
D05OFX	Lacosamide	Epilepsy		G40
D05OFX	Lacosamide	Painful diabetic neuropathy	250.6,338,780	E10.4, E11.4, E13.4, G89, R52
D05OIL	Protein-silencing drugs	Cancer	140-229	C00-C96
D05OIS	Benzyl alcohol	Head lice	132	B85.0
D05OMT	MK-8033	Solid tumours	140-199, 210-229	C00-D48
D05ONA	Cyt-1010	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05OQJ	Methyprylon	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
D05OQX	NCX-4016	Inflammation		E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89
D05OQX	NCX-4016	Type 2 diabetes; Early nephropathy; Claudication	250, 250.00, 250.02, 250.4, 338, 437.6, 443.9, 453, 580-599, 671.5, 671.9,780	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89
D05ORA	MOR-103	Multiple scierosis	340	G35
D05ORI	AGI-350	Pulmonary disease	460-519	J00-J99
D05ORO	Anti-N3pG-Abeta antibody	Alzheimer disease	331	G30
D05OSR	Human immune globulin	Immunodeficiency	279.3	D84.9
D05OTL	NW-3509	Schizophrenia	295	F20
D05OTZ	SMP-986	Overactive bladder disorder	188, 596.51	C67, N32.81
D05OUI	Anti-aging glycopeptides	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D05OVC	Atipamezole	Male sexual disorders		F52
D05OVR	ALP-242	Cystic fibrosis	277	E84
D05OWB	mab-216	Leukemia	208.9	C90-C95
D05OXZ	BIWA 4	Cancer	140-229	C00-C96
D05OZG	BTSCAN	Breast cancer	174, 175	C50
D05PCM	PF-04965842	Lupus	710	M32
D05PFE	HC-15	Cancer	140-229	C00-C96
D05PFH	Isolagen Process	Skin infections	680-709	L00-L99
D05PGM	AdV-tK	Ankylosing spondylitis	720	M08.1, M45
D05PHH	Gabexate	Pancreatitis	577.0-577.1	K85, K86.0K86.1
D05PIX	CG-400549	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05PIZ	Levomethadyl Acetate	Opiate dependence	304	F11
D05PJJ	NOX 2137a/b	Pain; Stress	300, 338,780	F40-F42, R52, G89
D05PKF	SOM-0720	Blood clotting disorder	286	D65-D69
D05PLH	Carisoprodol	Musculoskeletal disease		M00-M99
D05PLH-D0GY5Z	Aspirin + Carisoprodol	Pain; Muscle spasm; Limited mobility		R52, G89
D05PMU	Dicaffeoyltartaric acids	Human immunodeficiency virus infection	279.3	B20-B26
D05PQF	ONO-4127Na	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
D05PQW	AZD-5180	Solid tumours	140-199, 210-229	C00-D48
D05PRV	PerCvax	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D05PTG	EPD-clofarabine	Solid tumours	140-199, 210-229	C00-D48
D05PTH	MK-8175A	Contraception		Z30
D05PTL	NMB-T-BMX-OS01	Cancer	140-229	C00-C96
D05PTT	ROSMARINIC ACID	Rheumatoid arthritis	710-719, 714	M05-M06
D05PUD	Aldesleukin	Metastatic renal cell carcer	189	C64
D05PUD	Aldesleukin	Non-hodgkin's lymphoma		C85
D05PUD-D0W5HK	Aldesleukin + Sorafenib	Metastatic disease		C00-D48
D05PVW	CX-2007	Attention deficit hyperactivity disorder	314	F90
D05PWA	PNT-600	Cancer	140-229	C00-C96
D05PWU	PRo antigen cancer vaccine	Human immunodeficiency virus infection; Prostate cancer	279.3, 185	B20-B26, C61
D05PWX	Sulfatinib	Cancer	140-229	C00-C96
D05PWZ	Ecromeximab	Metastatic melanoma	172	C43
D05PXL	PL-3394	Congestive heart failure	428	I50
D05PYB	Elstree-BN	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
D05PYP	PS433540	Hypertension	401	I10-I16
D05PZB	AT9283	Solid tumours	140-199, 210-229	C00-D48
D05PZN	TRO-19622	Chemotherapy-induced peripheral neuropathy	356.0, 356.8	G64, G90.0
D05PZZ	DDP-200	Urinary incontinence	788.3	N39.3, N39.4, R32
D05QAA	PNU-248686A	Cancer	140-229	C00-C96
D05QBF	Devazepide	Gastrointestinal disease		K00-K93
D05QBH	LAS-41003	Eczema		L20-L30
D05QCE	KM-01221	Cardiovascular disorder		I00-I99
D05QDC	Acitretin	Psoriasis	696	L40
D05QFA	R-71762	HIV-1 infection	001-139, 042	B20-B24
D05QFO	RLY-106	Cardiovascular disorder		I00-I99
D05QGH	DXL-625	Chronic lymphocytic leukaemia		C91
D05QHL	Sivelestat sodium hydrate	Acute lung injury; Acute respiratory distress syndrome	518.5, 518.82	J80
D05QHO	ACE-527	Escherichia coli infections		B96.2
D05QHU	CRS-3123	Clostridium infection	001-139	A00-B99
D05QIM	TA-NIC	Nicotine dependence	305.1	F17
D05QIS	VX-944	Cancer	140-229	C00-C96
D05QIU	Embeconazole	Fungal infections	110-118	B35-B49
D05QIZ	GTx-822	Ocular disease		H00-H59
D05QJT	GW274150	Asthma		J45
D05QKO	NBI-5788	Multiple scierosis	340	G35
D05QKZ	Adipose-derived regenerative cell therapy	Chronic myocardial ischemia	459.89	I99.8
D05QLQ	HIV vaccine	Human immunodeficiency virus infection	279.3	B20-B26
D05QMJ	RWJ-56423	Asthma		J45
D05QML	PQ-1	Cancer	140-229	C00-C96
D05QMQ	MLN-0905	Lymphoma	202.8, 208.9	C81-C86
D05QNO	Decamethonium	Muscle relaxant		N39.3, N39.4, R32
D05QOL	Polatuzumab vedotin	Diffuse large B-cell lymphoma	200	C83.3
D05QPC	[L/D]-aminopterin	Rheumatoid arthritis	710-719, 714	M05-M06
D05QPW	Choline salicylate	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D05QTO	LF-801	Asthma		J45
D05QUL	T89	Myeloma	203	C90
D05QWS	Epicardial angiogenesis patch	Ischemic heart diseases	410-414	I20-I25
D05QXT	BAY-38-1315	Arteriosclerosis	440	I70
D05QXW	TZ-111	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
D05RBH	N9-GP	Factor IX deficiency; Haemophilia B	286.1	D67
D05RBL	CL-184005	Septic shock	785.52	A41.9
D05RBO	OPM-3023 oral	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D05RCZ	HSV2 DNA vaccine	Genital herpes		B00-B09
D05RDE	TJN-505	Heart arrhythmia		I47-I49
D05REB	ZT-1	Parkinson's disease	332	G20
D05REH	Flosulide	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
D05REL	GR-82334	Emesis	787	R11
D05RFC	Tumor vascular thrombogen	Solid tumours	140-199, 210-229	C00-D48
D05RFI	QBI-206	Cancer	140-229	C00-C96
D05RFO	A-928605	Cancer	140-229	C00-C96
D05RGV	MK-1496	Solid tumours	140-199, 210-229	C00-D48
D05RHI	Trifluridine	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
D05RHI-D0O5WP	Docetaxel + Trifluridine	Colon cancer; Gastric cancer		C50
D05RIM	SPN-808	Anxiety disorder	300, 311	F32, F40-F42
D05RIY	Perflubutane lipid microsphere-encapsulated	Heart disease	390-429	I00-I52
D05RJP	Oblimersen	Advanced melanoma; Multiple myeloma	172, 203.0	C43, C90
D05RKV	Sch-036	Immune disorder		D80-D89
D05RLT	CXCR7 pepducins	Cancer	140-229	C00-C96
D05RMW	ZD-3638	Schizophrenia	295	F20
D05ROI	Dabrafenib	Melanoma		C43-C44
D05RPN	BMS-488516	Inflammatory disorder		
D05RPT	MER-2101	Asthma		J45
D05RQW	Guglipid	Lipoprotein disorders		E00-E90
D05RQX	Cefaclidine	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05RQY	MM-093	Autoimmune diabetes		E08-E13
D05RRA	HQK-1004	Solid tumours	140-199, 210-229	C00-D48
D05RRO	Adenosine analog DNA ligase inhibitors	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05RRU	IL-2/CD40L-expressing leukemia vaccine	Chronic lymphocytic leukaemia		C91
D05RSC	Sofinicline	Attention deficit hyperactivity disorder	314	F90
D05RSS	PF-03772304	Cancer	140-229	C00-C96
D05RTB	Anti-Staphylococcus enterotoxin B hyperimmune globulin	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05RTF	AME-527	Rheumatoid arthritis	710-719, 714	M05-M06
D05RTM	LEZ763	Peripheral arterial disease; Type 2 diabetes	443, 250	I73, E11
D05RTV	Superoxide dismutase	Myocardial infarction	410	I21, I22
D05RTX	RO-1752	Human immunodeficiency virus infection	279.3	B20-B26
D05RUJ	G-1128	Chronic myelogenous leukaemia	205.1	C92.1
D05RUM	Melperone	Alcohol use disorders	303	F10.2
D05RVA	CFG920	Metastatic castration-resistant prostate cancer	140-229, 185	C61
D05RWD	Research programme: farnesoid X receptor agonists, Roche	Diabetes	253.5, 588.1	E23.2, N25.1
D05RWL	NSD-788	Anxiety disorder	300, 311	F32, F40-F42
D05RWN	Lanthanum polystyrene sulfonate	Hyperphosphatemia	275.3	E22.1
D05RXI	Hydrocortamate	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D05RXW	LAS-41002	Eczema		L20-L30
D05RZE	LY-2623091	Chronic kidney disease	403, 585.1-585.5, 585.9	N18
D05RZI	AA-193	Hyperuricosuria		E79
D05RZJ	Recombinant human CC10	Endometriosis	617	N80
D05RZW	YM-934	Angina pectoris	413	I20
D05SBI	TBC-395	Cardiovascular disorder		I00-I99
D05SBO	LY2835219	Cancer	140-229	C00-C96
D05SCQ	TDI-0079	Motor neurone disease	335.2	G12.2
D05SEW	OB-24	Cancer	140-229	C00-C96
D05SFD	DMP-961	Human immunodeficiency virus infection	279.3	B20-B26
D05SHK	Nadolol	High blood pressure; Angina	401, 413	I10, I11, I12, I13, I15, I20
D05SHQ	ASP-2002	Ulcerative colitis	556	K51
D05SJD	DasKloster 0501-01	Scleroderma	701.0710.1	L94.0-L94.1, M34
D05SJK	Bone marrow stem cell therapy	Ischemic heart diseases	410-414	I20-I25
D05SJW	Gallamine Triethiodide	Stabilize muscle contractions		M00-M99
D05SJY	WS-CoQ10	Parkinson's disease	332	G20
D05SLM	LY-2590443	Migraine	346	G43
D05SMV	P2B-002	Cancer	140-229	C00-C96
D05SNX	APT070	Reperfusion injury		I00-I99
D05SOF	SPM-3672	Angina pectoris	413	I20
D05SOH	CTAP-201	Hyperparathyroidism	252.02, 588.81	E21.1
D05SOW	SX-MTR1	Bladder cancer	188	C67
D05SPL	Monofer	Iron deficiency anaemia		D50
D05SPU	Infanrix-IPV	Bordetella pertussis infection		A37.0
D05SPX	VAP-1	Central nervous system disease		G00-G99
D05SQU	BIM-64152	Metabolic disorders	270-279	E70-E89
D05SSC	Dalcetrapib	Dyslipidaemias; Hyperlipidaemia	272, 272.0-272.4	E78
D05SSJ	Dotarizine	Migraine	346	G43
D05STL	ARRY-502	Allergic asthma	493, 995.3	J45, T78.4
D05SUA	A-798	Obesity	278	E66
D05SVN	PdB-W433F	Streptococcus pneumoniae infection		J13
D05SVQ	C-AFG	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
D05SXB	SMT-D004	Age related macular degeneration	362.5	H35.3
D05SXC	SCR-44001	Cancer	140-229	C00-C96
D05SXL	PLR-8	Asthma		J45
D05SXT	INP-03	Poison intoxication		T36-T50
D05SYO	KR-33889	Myocardial infarction	410	I21, I22
D05TAD	ONO-6818	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D05TBI	DG-770	Diabetes	253.5, 588.1	E23.2, N25.1
D05TBQ	SAR408701	Solid tumours	140-199, 210-229	C00-D48
D05TCC	TMX-202	Bladder cancer	188	C67
D05TDJ	TS01	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
D05TDS	Nu-2	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05TFW	H1N1 HA flu vaccine	Influenza virus		J11.1
D05TGV	PEG-Infergen	Hepatitis virus infection	573.3	K75.9
D05TGV-D0H3WI	pegylated interferon + ribavirin	Chronic HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D05TIB	Trospium	Overactive bladder disorder; Spasm	188, 596.51, 728.85	C67, N32.81, R25.2
D05TJR	Fluvirin	Influenza virus		J11.1
D05TKB	GS-9256	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
D05TKO	Retagliptin	Non-insulin dependent diabetes		E11.9
D05TKW	alpha-ketothiazole analogue 36	Alzheimer disease	331	G30
D05TLM	E-5065	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05TLP	Carabersat	Epileptic seizures	345.9, 780.3	G40, P90, R56
D05TLQ	ETR-001	Kidney diseases	580-589	N00-N29
D05TLR	Tetramune	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05TMQ	Aprobarbital	Insomnia; Anesthesia	307.41, 307.42, 327.0, 780.51, 780.52, 338	F51.0, G47.0, R20.0
D05TNK	GSK372475	Attention deficit hyperactivity disorder; Severe mood disorders	296, 314.00, 314.01	F30-F39, F90
D05TNY	Generalized glucocorticoid	Adrenal incidentalomas		E27.9
D05TOJ	Peretinoin	Hepatocellular carcinoma	155	C22.0
D05TPA	SP-1062C-O	Colorectal cancer	153, 154	C18-C21
D05TSJ	LY2784544	Myeloproliferative neoplasm; Breast cancer	205.1, 238.4, 289.89, 289.9, 174, 175	D47.1, C50
D05TUL	MB-11316	Injury		S00-T88
D05TUQ	MAT-302	Ocular disease		H00-H59
D05TUZ	Tasonermin	Cancer	140-229	C00-C96
D05TVI	TD-9594	Overactive bladder disorder	188, 596.51	C67, N32.81
D05TVW	DCVax-Head/Neck	Head and neck cancer	140-149, 140-229	C07-C14, C32-C33
D05TWD	Autologous VEGF-and angiopoietin-1-expressing endothelial and smooth muscle cell therapy	Cardiovascular disorder		I00-I99
D05TXS	BMN-168	Phenylketonuria		E70.0
D05TYV	CXCR3 antagonists	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D05TZJ	Ankinara	Inflammatory bowel disease; Psoriasis; Rheumatoid arthritis	555, 556, 696, 710-719, 714	K50, K51, L40, M00-M25, M05-M06
D05UAA	SX-HIV1	Retrovirus infection		B33.3
D05UAO	J591-Ac-225	Prostate cancer	185	C61
D05UAV	Bis(olanzapine) pamoate monohydrate	Psychotic disorders	290-299	F20-F29
D05UBX	Cefmetazole	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05UCW	MEDI-2338	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D05UDU	YK-3237	Cancer	140-229	C00-C96
D05UEF	RR-1	Cancer	140-229	C00-C96
D05UEI	99mTc-besilesomab	Bone metastases	198.5	C79.51
D05UFG	BIBW 2992	Non-small cell lung cancer		C33-C34
D05UFG-D0C4RB	Afatinib + Paclitaxel	Non-small cell lung cancer		C33-C34
D05UFG-D0N5OV	Afatinib + Cetuximab	EGFR mutant lung cancer		C33-C34
D05UFJ	Minnelide 001	Gastrointestinal cancers	150-159	C15-C26
D05UFN	PN-202	Xerophthalmia		E50.6-E50.7
D05UFP	PEG-SN38	Metastatic breast cancer; Metastatic colorectal cancer	153, 154	C50, C18-C21
D05UGJ	XL844	Solid tumours	140-199, 210-229	C00-D48
D05UHF	Galsulfase	Mucopolysaccharidosis VI	277.5	E76.2
D05UHJ	SM-10888	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
D05UIL	TV-4710	Systemic lupus erythematosus	710	M32
D05UJF	PBSVax	Human immunodeficiency virus infection	279.3	B20-B26
D05UJS	ADVAX	Human immunodeficiency virus infection	279.3	B20-B26
D05UJU	MV-2101	Vascular disease	325, 430-459	G45-G46, I60-I95
D05UKK	FK-888	Migraine	346	G43
D05UMD	R-87366	Human immunodeficiency virus infection	279.3	B20-B26
D05UMO	BAY-793	Human immunodeficiency virus infection	279.3	B20-B26
D05UPB	CI-972	Rheumatoid arthritis	710-719, 714	M05-M06
D05UQD	Omapatrilat	Hypertension	401	I10-I16
D05UQF	NCX-226	Pulmonary fibrosis	515, 516.3	J84.1
D05URO	Quinvaxem	HBV infection	070.2-070.3	B16, B18.0, B18.1
D05URT	MX-7091	Cancer	140-229	C00-C96
D05URZ	Carmeseal	Fibrosis	709.2	L90.5
D05USL	KU-55933	Cancer	140-229	C00-C96
D05UTF	SB-41947	Cancer	140-229	C00-C96
D05UTV	Albuterpenoids	Adult varicella zoster virus infection		B02
D05UTW	ErythroMax	Hypoxia	799.02	R09.02
D05UVD	Timolol	High blood pressure	401	I10-I16
D05UVD-D05UYW	Dorzolamide + Timolol	Glaucoma; High pressure inside the eye		H40-H42
D05UVD-D05UYW	Dorzolamide + Timolol	Open-angle glaucoma	365	H40-H42
D05UVD-D0AE3X	Brimonidine + Timolol	Glaucoma or ocular hypertension		H40-H42
D05UVD-D0AE3X	Brimonidine + Timolol	Open-angle glaucoma	365	H40-H42
D05UVD-D0AE3X	Brimonidine + Timolol	Retina; Ocular physiology		
D05UVD-D0C6NM	Latanoprost + Timolol	Ocular hypertension or glaucoma		H40
D05UVD-D0Q2XF	Bimatoprost + Timolol	Open-angle glaucoma; Ocular hypertension	365, 365.04	H40-H42, H40.0
D05UVD-D0U4UQ	Hydrochlorothiazide + Timolol	Hypertension	401	I10-I16
D05UVL	SND-121	Infections	001-139	A00-B99
D05UXF	Emapunil	Anxiety disorder	300, 311	F32, F40-F42
D05UXU	INM-176	Alzheimer disease	331	G30
D05UYQ	Camicinal	Delayed gastric emptying; Gastroparesis	536.3	K31.8
D05UYW	Dorzolamide	Open-angle glaucoma	365	H40-H42
D05UZO	MIVOBULIN ISETHIONATE	Cancer	140-229	C00-C96
D05VAA	Isbufylline	Bronchodilator	493	J45
D05VAE	Posiphen R-phenserine	Alzheimer disease	331	G30
D05VAR	AE-H	Human immunodeficiency virus infection	279.3	B20-B26
D05VCA	IP10.C8-1	Psoriasis	696	L40
D05VDI	Aggrecanase-2 inhibitors	Osteoarthritis	715	M15-M19, M47
D05VEH	detirelix	Unspecified		
D05VEP	DX-2802	Cancer	140-229	C00-C96
D05VEU	Coagulin-B	Hemophilia	286	D66-D68
D05VFO	Rh-erythropoietin-alfa	Postoperative inflammation	998	T81
D05VFQ	TriTAb	Poison intoxication		T36-T50
D05VGL	Tavaborole	Onychomycosis		B35.1
D05VGS	ALB-127158(a)	Obesity	278	E66
D05VHB	EMP-123	Peanut hypersensitivity	995.61, V15.01	T78.4
D05VIL	Nalmefene	Opioid addication		F11
D05VIX	Gemfibrozil	Hyperlipidaemia	272.0-272.4	E78
D05VIX-D0JE2E	Gemfibrozil + Rosuvastatin	Cardiovascular disorder		I00-I99
D05VLB	PEGylated recombinant IFN-alpha2b	Cancer	140-229	C00-C96
D05VLN	Isomazole	Asthma		J45
D05VLS	Rofecoxib	Osteoarthritis	715	M15-M19, M47
D05VNG	BB-1101	Multiple scierosis	340	G35
D05VNP	TESTOSTERONE BUCICLATE	Contraception		Z30
D05VNX	IPC-003	Cancer	140-229	C00-C96
D05VOP	RAP-160	Psoriasis	696	L40
D05VQD	BMS-183729	Cerebrovascular ischaemia	434.91	I61-I63
D05VQI	Cyclandelate	Dementia	290-294	F01-F07
D05VTE	CAI orotate	Age related macular degeneration	362.5	H35.3
D05VTN	CCX-354	Autoimmune diabetes		E08-E13
D05VVT	PEG-PLA-TNP-470	Cancer	140-229	C00-C96
D05VVX	PTC299	Solid tumours	140-199, 210-229	C00-D48
D05VWK	AXP-107-16	Gynecological disorder		N70-N98
D05VWX	CGEN-25008	Cancer	140-229	C00-C96
D05VXF	YSCMA	Hematological malignancies	200-209	C81-C86
D05VXQ	SRSC-355	Neuropathic pain	356.0, 356.8	G64, G90.0
D05VYJ	SUN-09	Hypertonia		P94.1
D05VZE	Marimastat	Pancreatic cancer	140-199, 140-229, 157, 210-229	C25
D05VZE	Marimastat	Pancreatic cancer; Lung cancer	140-229, 157, 162	C25, C33-C34
D05VZJ	J-104132	Pulmonary arterial hypertension	416	I27.0, I27.2
D05WCI	ABT-384	HCV infection; Mild to moderate alzheimer disease	070.4, 070.5, 070.70, 331	B17.1, B18.2, G30
D05WDD	Group B streptococcal vaccine	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
D05WDJ	Proteolytic mabs	Toxicity		T36-T50, T51-T65
D05WEP	Befloxatone	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
D05WFF	GNI-102	HBV infection	070.2-070.3	B16, B18.0, B18.1
D05WJQ	Saredutant	Depression; Anxiety	300, 311	F30-F39, F40-F42
D05WKQ	LAI287	Type 1/2 diabetes	250, 278	E08-E13
D05WKT	PK-44	Non-insulin dependent diabetes		E11.9
D05WPE	Peptide therapy, autoimmune disease	Autoimmune diabetes		E08-E13
D05WPQ	BW A4C	Arthritis	710-719	M00-M25
D05WQT	Flanvotumab	Melanoma	172	C43
D05WRB	Galactofucan sulphate fraction	Human immunodeficiency virus infection	279.3	B20-B26
D05WSD	NaAPR1M-74	Hookworm infection		B76.9
D05WSP	UK-396082	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D05WTS	Galavit	Autoimmune diabetes		E08-E13
D05WTT	Remune	Hereditary angioedema	277.6	D84.1
D05WTZ	Galarubicin	Solid tumours	140-199, 210-229	C00-D48
D05WUN	OTI-020	Myocardial disease		I21-I22, I40-I42
D05WUQ	Omtriptolide	Solid tumours	140-199, 210-229	C00-D48
D05WUZ	TT-113	Blood clotting disorder	286	D65-D69
D05WVO	EDP-17	Cancer	140-229	C00-C96
D05WVU	131i-chtnt	Cancer	140-229	C00-C96
D05WWJ	ALX-5407	Schizophrenia	295	F20
D05WYW	L-373890	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
D05XCZ	VPC-51299	Cancer	140-229	C00-C96
D05XDX	HuCAL-derived fully human antibodies	Cancer	140-229	C00-C96
D05XDZ	LMT-X	Alzheimer disease	331	G30
D05XEA	RP5063	Schizoaffective disorder; Schizophrenia	295, 295.70	F20, F25
D05XFQ	VLN-244	Colon cancer	153, 154	C50
D05XGO	Cariprazine	Bipolar disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300	F31, F40-F42
D05XGR	SB-214111	Unspecified		
D05XJW	Resiniferatoxin	Neuropathic pain	356.0, 356.8	G64, G90.0
D05XKN	APG-101.10	Gout	274.00274.1274.8274.9	M10
D05XKW	VM-501	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
D05XLH	Iroxanadine	Diabetic foot ulcer	707	L88-L89
D05XLO	INCB13739	Diabetes	253.5, 588.1	E23.2, N25.1
D05XLO	INCB13739	Type 2 diabetes	250	E11
D05XNX	NH-02D	Brain injury		S09.90
D05XQE	Plaunotol	Ulcer	531-534	K25-K27
D05XRZ	HI-6	Poison intoxication		T36-T50
D05XSJ	Asfotase alfa	Genetic disease		Q00-Q99
D05XTO	ABT-100	Solid tumours	140-199, 210-229	C00-D48
D05XTQ	DELTIBANT	Septic shock	785.52	A41.9
D05XTY	Glucan synthase inhibitors	Fungal infections	110-118	B35-B49
D05XUY	JM216	Solid tumours	140-199, 210-229	C00-D48
D05XXF	ORMD-0901	Type 2 diabetes	250	E11
D05XXQ	MLR-1326	Diabetes	253.5, 588.1	E23.2, N25.1
D05XYC	LY-231617	Arthritis	710-719	M00-M25
D05XYH	MIC-31	Gastrointestinal ulcer		K28
D05XZQ	HepaStem	Liver failure		K72.9
D05YAG	Recombinant human endostatin	Cancer	140-229	C00-C96
D05YAG-D0C9XJ-D0O5WP	Docetaxel + Epirubicin + Recombinant human endostatin	Breast cancer	174, 175	C50
D05YAS	Tolafentrine	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
D05YBZ	Tolonium chloride	Cancer	140-229	C00-C96
D05YEL	CH-3697	Asthma		J45
D05YES	StaphVAX	Staphylococcus aureus infection		B95.6
D05YFE	Diphyllin	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
D05YFL	AFTVac	Glioblastoma multiforme	191	C71
D05YFY	Anti-inhibitor coagulant complex	Bleeding	444, 453	I74, I80-I82
D05YHW	Vapaliximab	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
D05YIX	LymphoScan	Lymphoma	202.8, 208.9	C81-C86
D05YLL	FL-386	Hyperlipidaemia	272.0-272.4	E78
