4-ethyl-3,4-dihydroquinazolin-2-amine	HTR5A
4-(4-chlorobenzyl)-2-allylphthalazin-1(2h)-one	ADRA1D
1-deoxygalactonojirimycin	GLA
arcaine	ASIC3
mulberrofuran c	PTPN1
isis 222035	EPAS1
sta2	TBXA2R
sta2	PTGER3
c[nle-arg-d-nal(2')-arg-trp-glu]-nh2	MC1R
c[nle-arg-d-nal(2')-arg-trp-glu]-nh2	MC4R
c[nle-arg-d-nal(2')-arg-trp-glu]-nh2	MC3R
pravadoline	CNR1
pravadoline	CNR2
1-(4-chlorobenzyl)-5-phenyl-1h-imidazole	CYP11B1
d-ap4	GRM8
mazapertine succinate	HTR1A
mazapertine succinate	DRD2
[3h]ltc4	CYSLTR2
exiguamine a	IDO1
gnf-pf-4453	CAPN2
4-methyl-n-propyl-3,4-dihydroquinazolin-2-amine	HTR5A
allopurinol	XDH
viral macrophage inflammatory protein-ii	CCR8
viral macrophage inflammatory protein-ii	CCR5
viral macrophage inflammatory protein-ii	CCR2
viral macrophage inflammatory protein-ii	CCR10
4-(cyclohexylmethylcarbamoyloxy)benzoic acid	FAAH
skf-96231	PDE5A
3-phenyl-2-nortropene	SLC6A4
3-phenyl-2-nortropene	SLC6A3
5-benzyl-1h-pyrazole-3-carboxylic acid	HCAR2
5-benzyl-1h-pyrazole-3-carboxylic acid	HCAR3
tug-770	FFAR1
beta amyloid lowering agents	APP
gabexate	PLG
gabexate	KLKB1
gabexate	F2
darbufelone	PTGS2
darbufelone	ALOX5
5-(4-methoxyphenoxy)-2,4-quinazolinediamine	PDF
5-(4-methoxyphenoxy)-2,4-quinazolinediamine	DHFR
n-hydroxy-2-(4-phenoxy-benzenesulfonyl)benzamide	MMP12
n-hydroxy-2-(4-phenoxy-benzenesulfonyl)benzamide	MMP13
n-hydroxy-2-(4-phenoxy-benzenesulfonyl)benzamide	MMP8
n-hydroxy-2-(4-phenoxy-benzenesulfonyl)benzamide	MMP14
n-hydroxy-2-(4-phenoxy-benzenesulfonyl)benzamide	MMP9
n-hydroxy-2-(4-phenoxy-benzenesulfonyl)benzamide	MMP2
n-hydroxy-2-(4-phenoxy-benzenesulfonyl)benzamide	MMP21
(r)-rolipram	PDE4A
(r)-rolipram	PDE4C
(r)-rolipram	PDE4D
(r)-rolipram	PDE4B
autologous melanoma cell vaccine	CSF2
alpha-d-glucopyranosyl-2-carboxylic acid amide	PYGM
2-(adamantan-1-ylamino)-5,5-diethyl-oxazol-4-one	HSD11B1
sc-52012	ITGB3
sc-52012	ITGA2B
6-bromo-2-(3-bromo-phenyl)-chromen-4-one	GABRA1
avx-470	TNFRSF1A
r-226161	ADRA1A
r-226161	SLC6A3
r-226161	SLC6A4
r-226161	ADRA2B
r-226161	HRH1
r-226161	ADRA2C
r-226161	DRD3
r-226161	ADRA2A
r-226161	TACR1
2-methoxy-9-aminomethyl-9,10-dihydroanthracene	HTR2A
isis 191759	DGAT1
a778317	TRPV1
3,4-methylenedioxymethamphetamine	HTR2A
3,4-methylenedioxymethamphetamine	SLC6A3
3,4-methylenedioxymethamphetamine	SLC6A4
3,4-methylenedioxymethamphetamine	HTR2B
3,4-methylenedioxymethamphetamine	SLC6A2
3,4-methylenedioxymethamphetamine	HTR2C
3,4-methylenedioxymethamphetamine	SLC18A2
2-amino-2-(thiophen-2-yl)acetic acid	CACNA2D1
2-amino-2-(thiophen-2-yl)acetic acid	CACNG1
vorinostat	HDAC6
vorinostat	HDAC3
vorinostat	HDAC2
vorinostat	HDAC1
a-78773	ALOX5
fggftgarksarklark	OPRL1
mr-1029	OPRK1
mr-1029	OPRM1
uk-78282	KCNA3
isis 188757	FOXO1
pa-1637	APP
rwj-58259	F2R
1-benzyl-3-phenylquinazoline-2,4(1h,3h)-dione	PGR
(o10eq)-beta-alanyl-anhydro-ryanodine	RYR1
isis 9061	ARAF
compound 4d	HMGCR
compound 4d	KLK5
compound 4d	BRD4
compound 4d	BRD2
compound 4d	ST14
compound 4d	KLK14
compound 4d	KLK7
1-methyl-2-oxy-5,5-dimethyl pyrrolidine	REN
n-ethylhistamine	HRH4
cgnlstcmlgtytqdfnpfhtfpqtaigvgap-amide	CALCR
rhgdf-5	GDF5
alpidem	TSPO
belimumab	TNFSF13B
gantacurium chloride	CHRNE
indirubin-5-sulfonate	CDK1
indirubin-5-sulfonate	CDK2
indirubin-5-sulfonate	CDK5
mcl-445	OPRK1
mcl-445	OPRD1
mcl-445	OPRM1
isis 222041	EPAS1
gv-150013	CCKBR
4-(1,2,3-thiadiazol-4-yl)phenyl butylcarbamate	FAAH
5-bromomethyl-oxazolidin-(2z)-ylideneamine	NOS1
5-bromomethyl-oxazolidin-(2z)-ylideneamine	NOS2
dysidine	PLA2G2A
dysidine	PTPN1
tolterodine	CHRM4
tolterodine	CHRM2
tolterodine	CHRM1
tolterodine	CHRM5
tolterodine	CHRM3
alstiphyllanine d	SLC5A1
alstiphyllanine d	SLC5A2
ferulic acid	CA6
ferulic acid	CA1
ferulic acid	CA9
ferulic acid	CA2
ferulic acid	CA4
ferulic acid	CA12
(-)-trans-h2-pat	HRH1
ds-8895	EPHA2
nnc55-0396	CATSPER1
nnc55-0396	CATSPER2
nnc55-0396	CATSPER4
nnc55-0396	CATSPER3
ucl-2138	HRH3
macitentan	EDNRB
macitentan	EDNRA
veltuzumab	MS4A1
azd-4407	ALOX5
2-(piperidin-1-yl)-4h-benzo[h]chromen-4-one	PRKDC
isofagomine tartrate	GBA
isis 3067	ICAM1
isis 114537	ZNF217
moxisylyte	ADRA1D
ly-2334737	RRM2
nsc-745798	TERT
fti 276	FNTB
masilukast	CYSLTR1
nonsteroidal anti-inflammatory drugs (nsaids)	ALOX15
naproxen	PTGS2
naproxen	PTGS1
2-morpholin-4-yl-n-(4-sulfamoyl-phenyl)-acetamide	CA2
2-morpholin-4-yl-n-(4-sulfamoyl-phenyl)-acetamide	CA1
2-morpholin-4-yl-n-(4-sulfamoyl-phenyl)-acetamide	CA9
apc-100	AR
bicifadine	SLC6A2
bicifadine	SLC6A4
6-bromo-3-ethoxycarbonyl-2-methyl-4-quinolone	GABRA1
6-bromo-3-ethoxycarbonyl-2-methyl-4-quinolone	GABRG2
6-bromo-3-ethoxycarbonyl-2-methyl-4-quinolone	GABRB2
dmt-sar-phe-d-2-nal-nh	OPRM1
2-(4-methoxy-benzyl)isoquinoline-1,3,4-trione	CASP3
phenmedipham	FAAH
sbb007833	SRC
sbb007833	SYK
[3h]ro 63-0563	HTR6
3-chloro-1-(4-hydroxyphenyl)propan-1-one	ABAT
fexaramine	NR1H4
5-fluorouracil	DPYD
135pam1	RXFP3
ty-11345	ATP4B
ty-11345	ATP4A
ta-2005	ADRB2
[2-(3-benzyl-3h-inden-1-yl)-ethyl]-methyl-amine	HTR6
octopamine	F10
compound 3	GPR119
compound 3	CPM
compound 3	BRD4
compound 3	CDK2
compound 3	PGA5
compound 3	FDFT1
compound 3	CPB2
compound 3	PRKCZ
compound 3	CTSD
compound 3	PGC
compound 3	ST14
compound 3	GRM2
compound 3	PADI4
compound 3	PADI3
compound 3	CPN1
compound 3	CTSE
compound 3	KLK14
compound 3	KLK7
compound 3	GRM1
compound 3	LSS
compound 3	RCE1
compound 3	BRPF1
compound 3	CPB1
compound 3	KLK5
compound 3	GRM3
estrogen platinum(ii) hybrid derivative	ESR2
estrogen platinum(ii) hybrid derivative	ESR1
1,6-hexamethylene diisocyanate	TRPA1
sch-900271	HCAR2
isosakutanetin	CYP1B1
n-(1,3-diphenyl-1h-pyrazol-5-yl)benzamide	GRM5
pd-158780	EGFR
pt-630	DPP4
[3h]methyllycaconitine	CHRNA10
[3h]methyllycaconitine	CHRNA7
[3h]methyllycaconitine	CHRNA9
isis 113187	STAT3
1-phenyl-3-(quinazolin-4-yl)urea	ADORA3
(s)-benzyl 4-chloro-3-oxobutan-2-ylcarbamate	EGFR
sb-2280	MTOR
2,4-diamino-6-phenyl-5,6,7,8,-tetrahydropteridine	NOS3
1-benzhydryl-4-(pyridin-2-yl)piperidin-4-ol	OPRL1
1-benzhydryl-4-(pyridin-2-yl)piperidin-4-ol	OPRK1
1-benzhydryl-4-(pyridin-2-yl)piperidin-4-ol	OPRM1
2,6-dphenyl-8-propyl-1-deazapurine	ADORA2A
2,6-dphenyl-8-propyl-1-deazapurine	ADORA3
2,6-dphenyl-8-propyl-1-deazapurine	ADORA1
compound 7e	SUCNR1
5-methoxy-2,3,4,9-tetrahydro-1h-beta-carboline	MAOA
5-methoxy-2,3,4,9-tetrahydro-1h-beta-carboline	MAOB
5-methoxy-2,3,4,9-tetrahydro-1h-beta-carboline	HTR2A
gpc-3298306	GPC3
somatostatin	OPRD1
somatostatin	SSTR4
somatostatin	SSTR2
somatostatin	SSTR3
somatostatin	SSTR5
somatostatin	SSTR1
somatostatin	OPRM1
4-(propylthio)-2-(trifluoromethyl)benzonitrile	AR
arn-2966	APP
isis 29176	AKT3
ifn alpha kinoid	IFNA8
dinoprost tromethamine	PTGIR
dinoprost tromethamine	PTGFR
cn-2097	GRIN2B
nabilone	CNR1
nabilone	CNR2
guanilib	GUCY2C
oxybuprocaine	SCN10A
oxybuprocaine	SCN1A
3,14-didehydroginkgolide a	GLRB
3,14-didehydroginkgolide a	GLRA1
fty720-phosphate	S1PR5
fty720-phosphate	S1PR1
fty720-phosphate	S1PR3
fty720-phosphate	S1PR4
8-(3,3-dimethyl-butoxy)-quinolin-2-ylamine	MCHR1
vx-509	JAK3
nn-9926	GLP1R
trans-2-fluoro-2-p-tolylcyclopropanamine	MAOA
trans-2-fluoro-2-p-tolylcyclopropanamine	MAOB
gsk163090	HTR1A
hydroxocobalamin	MTR
hydroxocobalamin	MUT
cgp-12177a	ADRB1
cgp-12177a	ADRB2
zd-7349	ITGA5
2,4-dimethoxy-2'-hydroxychalcone	PTGS2
glucose-uridine-c1,5'-diphosphate	GALE
rr(17)pz	CHRM1
way-123641	PLA2G1B
bohemine	CDK2
8-methoxy-2-(4-methyl-piperazin-1-yl)-quinoline	HTR1A
8-methoxy-2-(4-methyl-piperazin-1-yl)-quinoline	HTR1D
8-methoxy-2-(4-methyl-piperazin-1-yl)-quinoline	HTR2A
4-benzenesulfonylamino-benzenesulfonamide	CA12
4-benzenesulfonylamino-benzenesulfonamide	CA2
4-benzenesulfonylamino-benzenesulfonamide	CA1
4-benzenesulfonylamino-benzenesulfonamide	CA9
isis 19675	ERBB4
ic86621	PRKDC
bemesetron	HTR3A
bemesetron	HTR3B
bemesetron	ADORA3
triazine	DHODH
way-181187	HTR6
apomorphine sl	CALY
1-(isoquinolin-5-yl)-3-(1-phenylpropyl)urea	TRPV1
cyclo(-l-am7(s2py)-l-a1in-l-ala-d-pro-)	HDAC6
cyclo(-l-am7(s2py)-l-a1in-l-ala-d-pro-)	HDAC4
cyclo(-l-am7(s2py)-l-a1in-l-ala-d-pro-)	HDAC1
propafenone	SCN5A
propafenone	KCNH2
cinchocaine	SCN10A
cinchocaine	SCN5A
n-(4-cyano-3-methanesulfonyl-benzoyl)-guanidine	SLC9A1
n-(4-cyano-3-methanesulfonyl-benzoyl)-guanidine	SLC9A3
(1h-imidazol-2-yl)-quinoxalin-6-yl-amine	ADRA2C
(1h-imidazol-2-yl)-quinoxalin-6-yl-amine	ADRA2A
4-methyl-2h-benzofuro[3,2-g]chromen-2-one	MAOA
e-1455	DRD4
xen-d0103	KCNA5
ht-0712	PDE4A
ht-0712	PDE4D
ht-0712	PDE4B
ad-121	ESRRA
rg7593	CD22
gw-328267	ADORA2A
biphenyl-3-ylcarbamic acid biphenyl-3-yl ester	FAAH
8-(3-nitro-phenyl)-6-pyridin-4-ylmethyl-quinoline	PDE4A
7-(2-methoxyphenyl)-2-methylquinoline	GRM5
inno-305	WT1
santacruzamate a	HDAC6
santacruzamate a	HDAC4
santacruzamate a	HDAC2
cyclopentolate	CHRM1
cyclopentolate	CHRM4
rwj-68157	ADRA1A
rwj-68157	ADRA1B
rwj-68157	ADRA1D
imperatorin	HTR7
[3h]s-145	TBXA2R
tic-d-phe-arg-2-nal-nhch3	MC1R
tic-d-phe-arg-2-nal-nhch3	MC4R
tic-d-phe-arg-2-nal-nhch3	MC3R
belinostat	HDAC1
belinostat	HDAC6
belinostat	HDAC3
belinostat	HDAC4
belinostat	HDAC8
belinostat	HDAC11
belinostat	HDAC7
belinostat	HDAC2
belinostat	HDAC5
belinostat	HDAC9
belinostat	HDAC10
ethyl hydrogen diethylamidophosphate	BCHE
d[val4]avp	AVPR1B
d[val4]avp	AVPR2
d[val4]avp	OXTR
d[val4]avp	AVPR1A
pki166	EGFR
sulfamic acid 4-benzoyl-phenyl ester	STS
(+/-)-7-methoxy-2-(4-methoxyphenyl)chroman-4-one	CYP19A1
(+/-)-7-methoxy-2-(4-methoxyphenyl)chroman-4-one	MAOB
bq-518	EDNRA
y-25130	HTR3A
vuf-8507	ADORA3
vuf-8507	ADORA1
5-methoxyflavone	AR
5-ethyl-4-methyl-pyrrolidin-(2z)-ylideneamine	NOS1
5-ethyl-4-methyl-pyrrolidin-(2z)-ylideneamine	NOS3
5-ethyl-4-methyl-pyrrolidin-(2z)-ylideneamine	NOS2
geranylcoumarin	CYP3A4
aiko-150	OPRM1
rg7697	GIPR
guanadrel	SLC6A2
nvp-saa164	BDKRB1
sdz-gpi-562	ITGB3
sdz-gpi-562	ITGA2B
5,11-dimethyl-6h-pyrido[4,3-b]carbazol-9-ol	PDGFRA
5,11-dimethyl-6h-pyrido[4,3-b]carbazol-9-ol	KIT
5,11-dimethyl-6h-pyrido[4,3-b]carbazol-9-ol	FGFR3
gnf-pf-3464	CACNA1B
ala(1-naph)-pro-cn	RBBP9
azm-131	PNLIP
blx-883	IFNAR1
2,5-bis(4-nitrophenyl)thiophene	APP
alpha-difluoromethylornithine	ODC1
lamifiban	ITGB3
lamifiban	ITGA2B
3-dimethylaminomethyl-1-methyl-1h-indol-4-ol	HTR2C
3-dimethylaminomethyl-1-methyl-1h-indol-4-ol	HTR2B
3-dimethylaminomethyl-1-methyl-1h-indol-4-ol	HTR2A
apr-246	TP53
semiplenamide g	CNR1
flavin-adenine dinucleotide	TXNRD1
flavin-adenine dinucleotide	XDH
flavin-adenine dinucleotide	DPYD
flavin-adenine dinucleotide	NQO2
flavin-adenine dinucleotide	MAOA
flavin-adenine dinucleotide	NOS1
flavin-adenine dinucleotide	MAOB
flavin-adenine dinucleotide	NQO1
bip-tyr-thr-pro-lys-thr	SLC6A3
3-methoxy-4-hydroxylonchocarpin	ODC1
mor-208	CD19
go 6983	PRKCZ
go 6983	PRKCA
go 6983	PRKCD
go 6983	PRKCB
go 6983	PRKCG
2alpha-hydroxyurs-12-en-28-oic acid	PYGM
phenyl 4-(heptyloxy)phenylcarbamate	FAAH
wa-8242-a1	PLA2G1B
avosentan	EDNRA
benzyl-(2-imidazol-1-yl-quinazolin-4-yl)-amine	PDE4A
benzyl-(2-imidazol-1-yl-quinazolin-4-yl)-amine	PDE4B
bs 7581	CYP2D6
sorbinil	AKR1B1
4-[4-benzyloxy)benzoyl]benzoic acid	SRD5A2
4-[4-benzyloxy)benzoyl]benzoic acid	SRD5A1
rimexolone	NR3C1
rimexolone	ESRRA
lanreotide autogel	SSTR2
isis 25082	MAP2K2
insulin pork	INSR
4-methoxybenzenemethanethiol	IDO1
alpha.beta-methylene-2-thio-udp	P2RY14
ave-0657	SLC9A3
(2'z,3'e)-5-fluoro-5'-hydroxy-indirubin-3'-oxime	CCNE1
(2'z,3'e)-5-fluoro-5'-hydroxy-indirubin-3'-oxime	CDK2
brl50481	PDE7B
7,8,9,10-tetrahydro-6h-furo-[2,3-g][3]benzazepine	HTR2C
7,8,9,10-tetrahydro-6h-furo-[2,3-g][3]benzazepine	HTR2B
7,8,9,10-tetrahydro-6h-furo-[2,3-g][3]benzazepine	HTR2A
6-hydroxy-2,9-dimethyl-9h-beta-carbolin-2-ium	ACHE
2-(2-fluoro-phenyl)-benzo[h]chromen-4-one	PRKDC
cetrorelix	GNRHR
gsk2330672	SLC10A2
azd5582	BIRC2
azd5582	XIAP
azd5582	BIRC3
dexmethylphenidate	SLC6A2
dexmethylphenidate	SLC6A3
flunitrazepam	GABRA4
flunitrazepam	GABRA2
flunitrazepam	GABRA5
flunitrazepam	GABRA3
flunitrazepam	GABRA6
flunitrazepam	TSPO
ro-147437	GABRA1
ro-147437	GABRG2
ro-147437	GABRB2
d-257c	SLC6A2
d-257c	SLC6A4
d-257c	SLC6A3
mcl-145	OPRK1
mcl-145	OPRD1
mcl-145	OPRM1
ly-2940094	OPRL1
pf-1228305	EDNRA
18alpha-glycyrrhetic acid	PTPN1
guanylpirenzepine	CHRM1
guanylpirenzepine	CHRM3
3-methoxymethyl-1,2,3,4-tetrahydro-isoquinoline	ADRA2C
3-methoxymethyl-1,2,3,4-tetrahydro-isoquinoline	ADRA2B
3-methoxymethyl-1,2,3,4-tetrahydro-isoquinoline	ADRA2A
alpha-ergocryptine	HTR6
ep 157	PTGIR
1-(4-cyanobenzyl)-5-(4-fluorophenyl)-1h-imidazole	CYP11B1
(s)-2-amino-2-o-tolylacetic acid	CACNA2D1
(s)-2-amino-2-o-tolylacetic acid	CACNG1
pd-116,948	ADORA1
5,6,7,8-tetrahydroanthracene-1,4-dione	CDC25B
6,7-dimethoxy-3-((e)-styryl)-quinoline	PDGFRA
6,7-dimethoxy-3-((e)-styryl)-quinoline	PDGFRB
2-(4-(methylsulfonyl)phenyl)-3-phenylquinoline	PTGS2
gsk-2130579a	WT1
azd-4877	KIF11
rwj-68023	MLNR
alpha-fluoromethylenephosphonate	LPAR3
but-3-enyl-trimethyl-ammonium bromide	ACHE
isis 24477	ITGA4
5-(2-oxoindolin-5-yl)-1h-pyrrole-2-carbonitrile	PGR
4-[2-(2-thienyl)acetamidoethyl]benzenesulfonamide	CA2
4-[2-(2-thienyl)acetamidoethyl]benzenesulfonamide	CA1
alpha-methylcubebin	CYP3A4
pim[-trp-arg-nva-arg-tyr-nh2]2	NPY1R
pim[-trp-arg-nva-arg-tyr-nh2]2	NPY2R
pim[-trp-arg-nva-arg-tyr-nh2]2	NPY4R
gr-159897	TACR2
ac-i[cv(bta)qdwgahrc]t	C3
ly-2189102	IL1B
3-((3-bromothiophen-2-yl)methylene)indolin-2-one	KDR
alpha-1 proteinase inhibitor (inhaled), alpha/profile	SERPINA1
drf 10945	PPARA
c[co-(ch2)2-co-nle-d-phe-arg-trp-lys]-nh2	MC4R
c[co-(ch2)2-co-nle-d-phe-arg-trp-lys]-nh2	MC3R
isis 150453	SOD1
moxonidine	ADRA2B
moxonidine	ADRA2C
moxonidine	NISCH
moxonidine	ADRA2A
fluorescein	SLC22A6
apelin-13	APLNR
radiolabelled-hua33	GPA33
quin-c7	FPR2
rac-4'-(1-imidazol-1-yl-propyl)-biphenyl-4-ol	CYP17A1
lgd-2226	AR
chf-3381	MAOA
chf-3381	MAOB
pf-877423	HSD11B1
vegf receptor 2 kinase inhibitor i	KDR
zapotin	ODC1
ajm-300	ITGA4
at1001	HP
gsk1278863	EGLN2
isis 5884	VCAM1
jwh-292	CNR1
jwh-292	CNR2
mchr1 antagonists	MCHR1
tak-128	TBXA2R
methyl 4-(4-tert-butylbenzylideneamino)benzoate	CA2
cp-533536	PTGER2
5,7-dichloro-1h-indole-2,3-dione	CES1
i-bet151	BRD4
i-bet151	BRD3
i-bet151	BRD2
gdc-0032	PIK3CA
[ho1][thr4,orn8(5/6c-flu)]vt	AVPR1B
[ho1][thr4,orn8(5/6c-flu)]vt	OXTR
[ho1][thr4,orn8(5/6c-flu)]vt	AVPR1A
tetrahydrocannabivarin	TRPV3
metyrapol	CYP11B1
2-bromo-n-(3-morpholinopropyl)nicotinamide	MAOB
[des-his1,tyr5,glu9,d-ala10]glucagon-nh2	GCGR
3-(4-phenylethynylbenzoyl)nonanoic acid	MMP9
3-(4-phenylethynylbenzoyl)nonanoic acid	MMP2
3-(4-phenylethynylbenzoyl)nonanoic acid	MMP12
men-14295	TOP1
t-buac-ryyrik-nh2	OPRL1
ave-8134	PPARA
asfotase alfa	ALPL
asfotase alfa	S1PR1
n-(5,6-diphenylfuro[2,3-d]pyrimidin-4-yl)glycine	CHEK1
2,4-diamino-butyric acid(gaba)	SLC6A1
2,4-diamino-butyric acid(gaba)	SLC6A11
3-benzyl-3-ethyl-1-phenylazetidine-2,4-dione	ELANE
(r)-alpha-methylhistamine	HRH3
ag-e-85378	KDR
recombinant human endostatin	CTNNB1
biphalin	OPRD1
biphalin	OPRM1
5-chloro-4-ethyl-3,4-dihydroquinazolin-2-amine	HTR1A
5-chloro-4-ethyl-3,4-dihydroquinazolin-2-amine	HTR7
5-chloro-4-ethyl-3,4-dihydroquinazolin-2-amine	HTR2C
5-chloro-4-ethyl-3,4-dihydroquinazolin-2-amine	HTR5A
diamide 7	FPR1
1-(3-bromobenzyl)-1h-imidazole	CYP11B1
dexmedetomidine	ADRA2A
ru82209	SRC
kd-7332	NOS2
5-hydroxymethyl-3-pyrrol-1-yl-oxazolidin-2-one	MAOA
5-hydroxymethyl-3-pyrrol-1-yl-oxazolidin-2-one	MAOB
(r)-mevalonate	HMGCR
[14c]glysar	SLC15A2
[14c]glysar	SLC15A1
3-(3-(carbamoyl)benzamido)propanoic acid	ITGB3
3-(3-(carbamoyl)benzamido)propanoic acid	ITGA2
16-(pyridin-2-yl)methyl-estradiol	HSD17B1
sulfasalazine	PTGS2
sulfasalazine	PTGS1
sulfasalazine	PPARG
sulfasalazine	ALOX5
malonate sodium	CA4
ceq-508	CTNNB1
psb-0963	P2RY2
psb-0963	ENTPD1
psb-0963	NT5E
mdl-105519	GRIN2A
mdl-105519	GRIN1
mdl-105519	GRIN2B
isoxazol	DHODH
4-methoxy-n-(thiazol-2-yl)benzamide	ALOX5
h-2',6'-dimethyltyrosine-tic-oh	OPRD1
h-2',6'-dimethyltyrosine-tic-oh	OPRM1
6-(2-chloro-benzenesulfonyl)-2h-pyridazin-3-one	AKR1B1
aceclofenac	PTGS2
aceclofenac	PTGS1
pde 4 inhibitor (respiratory)	PDE4A
pde 4 inhibitor (respiratory)	PDE4C
pde 4 inhibitor (respiratory)	PDE4D
pde 4 inhibitor (respiratory)	PDE4B
gw-409544	PPARG
gw-409544	PPARA
5-fluorolevulinic acid	ALAD
delphinidin	KDR
(1r,5r)-30-oxo-19-oxa-2,6,10,12-tetraazahexacyclo[18.6.2.1^{2,5}.1^{14,18}.0^{8,12}.0^{23,27}]triaconta-8,10,14(29),15,17,20(28),21,23(27)-octaene-17-carbonitrile (structural mix)	KCNH2
uridine-5'-diphosphate	GALE
9-deazahypoxanthine	PNP
dimethindene	HRH1
seocalcitol	VDR
6-(4-(2-(benzylamino)ethyl)phenoxy)nicotinamide	OPRK1
6-(4-(2-(benzylamino)ethyl)phenoxy)nicotinamide	OPRD1
6-(4-(2-(benzylamino)ethyl)phenoxy)nicotinamide	OPRM1
isorhamnetin 3-o-rhamnoside	AKR1B1
dextrothyroxine sodium	THRB
dextrothyroxine sodium	THRA
conivaptan	AVPR2
conivaptan	AVPR1A
pralnacasan	CASP1
nsc-23180	BCHE
nsc-23180	ACHE
nsc-23180	CES1
ecabet	NOXO1
c[glu23-lys27][gly8]glp-1(7-37)-nh2	GLP1R
ethacrynic acid	SLC12A1
betaarkct	GRK2
n-(3,3-dimethyl-butyl)-4-hexyloxy-benzamide	KCNQ1
regn-910	ANGPT2
tmx-202	TLR7
(r)-5-amino-3-(4-chloro-phenyl)-pentanoic acid	GABBR2
(r)-2-(2-naphthamido)-3-m-tolylpropanoic acid	PIN1
3-(1-phenethyl-piperidin-4-yl)-2-phenyl-1h-indole	KCNH2
3-(1-phenethyl-piperidin-4-yl)-2-phenyl-1h-indole	HTR2A
e-3030	PPARG
e-3030	PPARA
abt-981	IL1B
abt-981	IL1A
(e)-3-(4-(methylsulfonyl)styryl)thiophene	PTGS2
[tyr-pro-phe-nh-]2	OPRM1
sr-149415	AVPR1B
sr-149415	AVPR2
sr-149415	OXTR
sr-149415	AVPR1A
nsc-54162	DNMT3B
fmoc-l-leucine	PPARG
[des-his1,tyr5,glu9,d-tyr10]glucagon-nh2	GCGR
dioa	SLC12A6
dioa	SLC12A4
dioa	SLC12A5
dioa	SLC12A7
ac-ycit[cehdfrwc]-nh2	MC1R
ac-ycit[cehdfrwc]-nh2	MC4R
ac-ycit[cehdfrwc]-nh2	MC3R
palmitoylethanolamide	CNR2
chloroethylclonidine	ADRA2C
chloroethylclonidine	ADRA2A
2-((3,5-diamino-1h-pyrazol-4-yl)diazenyl)phenol	CCNE1
2-((3,5-diamino-1h-pyrazol-4-yl)diazenyl)phenol	CDK2
5-methyl-n-phenylbenzo[d]oxazol-2-amine	ALOX5
nd7001	PDE2A
examorelin	GHRHR
n5-[(4-phenoxy)-3-pyridyl]-l-glutamamide	LTA4H
(s)-norduloxetine	SLC6A2
(s)-norduloxetine	SLC6A4
isis 102609	PRKACA
6-(2-benzylisoindolin-5-yloxy)nicotinamide	OPRM1
(-)-5-hydroxy-2-(dipropylamino)tetralin	DRD2
(-)-5-hydroxy-2-(dipropylamino)tetralin	DRD3
5-benzhydryl-1,3,4-thiadiazole-2(3h)-thione	TYR
n6-methoxy-2-[2-(trimethylsilyl)ethynyl]adenosine	ADORA2A
n6-methoxy-2-[2-(trimethylsilyl)ethynyl]adenosine	ADORA3
n6-methoxy-2-[2-(trimethylsilyl)ethynyl]adenosine	ADORA1
4-thiomorpholin-4-yl-benzo[g]chromen-2-one	PRKDC
ono-4641	S1PR1
ypaa-nh2	OPRM1
6,7-dichloro-1,4-dihydro-quinoxaline-2,3-dione	GRIN1
[3h]bibp3226	NPY1R
2-(3''-(4''-bromo-indolyl)ethyloxy)adenosine	ADORA2A
2-(3''-(4''-bromo-indolyl)ethyloxy)adenosine	ADORA3
2-(3''-(4''-bromo-indolyl)ethyloxy)adenosine	ADORA1
1-(1-biphenyl-4-yl-3-methyl-butyl)-1h-imidazole	CYP17A1
biwa 4	CD44
(z)-7-octedecan-9-ynoic acid	HMGCR
5-methoxy-2-(4-dimethylaminophenyl)benzofuran	APP
slv-313	HTR1A
slv-313	DRD2
isis 109113	TLN1
naphazoline	ADRA1A
naphazoline	DRD2
naphazoline	ADRA2A
6-benzyl-3-propylaminocarbonyl-4-quinolone	GABRA1
6-benzyl-3-propylaminocarbonyl-4-quinolone	GABRG2
6-benzyl-3-propylaminocarbonyl-4-quinolone	GABRB2
ranatensin	GRPR
ranatensin	BRS3
1,1-diphenyl-3-(phenylsulfonyl)propan-2-one	HSD11B1
fructose	FHIT
tcn-201	GRIN2A
divaplon	GABRA1
2-(3-fluoro-4-hydroxy-phenyl)-benzooxazol-5-ol	ESR2
2-(3-fluoro-4-hydroxy-phenyl)-benzooxazol-5-ol	ESR1
2-(4-benzoylpiperidine-1-carbonyl)benzoic acid	CPB2
gw-501516	PPARD
thioctic acid	PTGS2
thioctic acid	ACHE
1,2-bis(2-fluorophenyl)ethane-1,2-dione	CES1
[3h]win35428	SLC6A3
dqp-1105	GRIN2C
dqp-1105	GRIN2D
dqp-1105	GRIN2B
a-443654	AKT1
osip-339391	ADORA2A
osip-339391	ADORA2B
osip-339391	ADORA3
osip-339391	ADORA1
egfr/igfr tandem adnectin	EGFR
egfr/igfr tandem adnectin	IGF1R
nsc-66209	MCL1
ym-543	SLC5A2
tnf alpha kinoid	TNF
cannabinol	CNR1
cannabinol	TRPV2
om-174	TLR4
om-174	TLR2
galb2	GALR1
galb2	GALR2
prostratin	PRKCB
prostratin	PRKCH
prostratin	PRKCD
prostratin	PRKCG
prostratin	PRKCA
prostratin	PRKCE
prostratin	PRKCQ
4-inden-(1e)-ylidenemethyl-phenylamine	HTR6
isis 107791	PTPN1
